					Annotator 1			Annotator 2			Annotator 3			Annotator 4			Annotator 5		
crawled-210716		💯	❤	💯	2	2	2	2	1	2	1	1	1	2	2	2	2	0	2
crawled-278935		😂	😂	😭	0	0	0	1	1	2	1	1	2	2	2	1	2	2	0
all-946133		😊	❤	❤	2	2	2	1	2	2	1	2	2	2	2	2	1	2	2
crawled-319561		😉	😉	✨	1	1	0	2	2	2	2	2	1	2	2	0	2	2	0
all-878316		😊	😎	😊	0	0	0	1	2	1	1	1	1	1	1	1	0	2	0
crawled-349252		😉	🙏	😂	0	1	0	0	2	0	1	2	1	0	2	2	0	2	0
crawled-238499		😊	😊	😭	1	1	2	1	1	0	0	0	2	2	2	0	2	2	0
all-613560		😎	📷	😎	2	0	2	2	2	2	1	1	1	2	2	2	2	2	2
crawled-166615		😂	💯	😂	2	1	2	1	0	1	1	0	1	2	2	2	2	0	2
crawled-14603		😊	😊	😂	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1
all-1004351		💪	🔥	💪	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2
crawled-100082		😭	❤	😭	0	2	0	1	2	1	1	2	1	1	2	1	0	2	0
all-731868		😜	💯	💯	0	2	2	2	1	1	1	0	0	2	1	1	2	1	1
all-678666		😊	🎄	🎄	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2
all-767819		🔥	🔥	💯	1	1	1	1	1	0	1	1	0	2	2	2	2	2	2
crawled-315146		✨	❤	❤	2	2	2	2	1	1	1	2	2	2	2	2	1	2	2
crawled-382731		😊	😉	😉	1	2	2	1	2	2	1	2	1	2	2	2	1	2	2
crawled-297051		😭	😊	😊	1	2	2	0	2	2	1	2	2	1	2	2	0	2	2
all-806676		📷	😊	😊	0	2	2	1	2	2	1	1	1	2	2	2	1	2	2
all-732083		😂	😂	❤	2	2	0	2	2	0	1	1	0	2	2	1	2	2	0
crawled-38523		😭	😂	😭	2	1	2	2	1	2	2	1	2	2	2	2	2	1	2
all-839430		😭	😂	😉	1	1	2	1	1	1	1	1	1	0	2	2	1	1	1
all-778578		❤	❤	✨	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2
crawled-27112		😭	😭	😂	1	1	1	2	2	1	2	2	1	2	2	2	1	1	2
crawled-123002		📷	🔥	📷	0	0	0	1	1	1	1	2	1	1	2	1	1	0	1
all-785715		❤	☀	❤	2	2	2	2	1	2	2	1	2	2	2	2	1	2	1
crawled-322289		😎	🔥	🔥	2	2	2	2	1	1	1	1	1	2	1	1	2	1	1
crawled-205257		😊	🙌	😊	2	1	2	1	2	1	2	1	2	2	2	2	1	2	1
crawled-10582		😂	🔥	🔥	2	2	2	1	2	2	1	1	1	2	2	2	0	2	2
crawled-280024		😂	😂	😭	2	2	1	1	1	0	1	1	1	2	2	0	2	2	0
crawled-111232		🔥	❤	❤	2	2	2	1	2	2	1	2	2	1	2	2	1	2	2
crawled-98164		❤	🙏	🙏	2	2	2	1	2	2	2	2	2	2	1	1	1	2	2
crawled-347001		🙏	😊	😊	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2
all-950293		☀	☀	❤	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1
crawled-270936		😂	😂	😭	2	2	2	2	2	0	1	1	2	2	2	1	1	1	1
all-726661		😊	😂	😂	2	2	2	0	1	1	0	1	1	0	2	2	0	2	2
crawled-387713		😜	❤	❤	2	1	1	1	2	2	1	1	1	2	2	2	1	2	2
crawled-393332		😜	😂	😂	2	2	2	1	2	2	1	1	1	2	2	2	1	2	2
all-817490		😂	😊	😂	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1
crawled-364069		🔥	😉	🔥	1	1	1	1	1	1	1	1	1	1	2	1	0	1	0
all-707226		💯	📷	📷	0	0	0	1	1	1	0	1	1	2	1	1	1	2	2
crawled-391871		😊	😜	😊	2	1	2	2	1	2	2	1	2	2	1	2	2	0	2
all-787923		☀	❤	☀	2	2	2	1	2	1	0	2	0	2	2	2	2	2	2
all-608860		😊	😭	😭	2	1	1	1	0	0	1	1	1	2	0	0	2	0	0
crawled-203670		😊	☀	☀	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
crawled-257857		😭	❤	❤	2	2	2	1	2	2	1	2	2	2	2	2	1	2	2
crawled-203376		😊	😭	😭	2	2	2	2	0	0	1	1	1	2	0	0	2	0	0
crawled-98206		❤	💯	😭	2	2	2	1	0	1	1	0	2	0	0	2	2	0	1
crawled-199521		📷	😊	😭	0	2	2	0	0	2	0	1	2	0	0	2	0	1	0
crawled-361304		🔥	☀	🔥	2	1	2	2	0	2	2	0	2	1	0	1	2	0	2
crawled-377042		😉	💯	💯	2	2	2	0	1	1	1	0	0	2	1	1	2	0	0
crawled-274763		😂	😂	😭	0	0	0	1	1	2	1	1	1	2	2	1	2	2	1
all-1034434		✨	😊	😊	2	1	1	2	2	2	1	2	2	1	2	2	1	2	2
crawled-358601		💯	☀	💯	2	2	2	2	1	2	1	1	1	2	1	2	0	2	0
crawled-347719		🙏	✨	✨	2	1	1	2	1	1	2	1	1	2	0	0	1	0	0
crawled-214753		😎	😎	🎉	1	1	0	2	2	2	1	1	2	2	2	2	1	1	2
all-837102		😎	😎	✨	2	2	1	2	2	1	1	1	1	2	2	1	1	1	2
all-649242		😎	😎	🎄	2	2	0	2	2	1	1	1	1	2	2	0	1	1	0
crawled-273654		😭	😂	💯	1	1	2	1	1	1	2	1	0	0	2	0	0	1	0
crawled-96500		❤	😂	❤	1	2	1	2	1	2	2	1	2	2	2	2	2	0	2
all-983825		✨	❤	✨	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
all-791325		❤	❤	😊	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
crawled-288824		❤	❤	😭	2	2	2	2	2	1	2	2	1	2	2	1	2	2	0
all-981807		❤	❤	😊	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
all-642374		❤	❤	😜	2	2	2	2	2	0	2	2	1	2	2	0	2	2	0
all-693762		❤	😎	😎	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1
crawled-187013		😊	💯	💯	2	2	2	2	1	1	2	1	1	2	2	2	2	0	0
all-932271		😊	☀	😊	2	2	2	2	0	2	2	1	2	2	1	2	2	2	2
all-876875		✨	😊	✨	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2
all-957064		❤	😊	❤	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
crawled-143314		💯	🔥	🔥	2	1	1	1	1	1	1	1	1	0	1	1	2	0	0
all-925832		❤	🔥	❤	2	2	2	2	1	2	1	1	1	2	0	2	2	0	2
all-920953		📷	❤	❤	0	2	2	1	2	2	1	2	2	2	2	2	2	2	2
all-948269		❄	🎄	❄	2	2	2	2	1	2	2	1	2	2	1	2	2	2	2
all-888141		📷	📷	😂	0	0	1	1	1	2	1	1	2	0	0	2	2	2	2
crawled-49378		🔥	❤	🔥	2	2	2	1	0	1	1	2	1	2	2	2	2	1	2
crawled-208320		🙌	❄	❄	2	0	0	2	1	1	1	1	1	2	0	0	2	0	0
crawled-193862		💯	😊	💯	2	0	2	0	0	0	1	1	1	1	1	1	1	0	1
all-813179		😜	😂	😂	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1
all-680852		😂	😜	📷	2	2	2	1	0	1	1	1	1	1	1	2	1	0	2
all-953264		😎	🔥	🔥	2	2	2	2	1	1	1	2	2	1	0	0	2	1	1
crawled-374944		💯	😉	💯	2	2	2	0	1	0	1	1	1	1	2	1	0	2	0
all-763693		😊	📷	📷	2	0	0	2	1	1	1	1	1	2	0	0	1	2	2
all-683844		❤	😉	❤	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2
crawled-257053		💯	😭	💯	0	2	0	0	1	0	0	1	0	1	1	1	0	2	0
all-731000		✨	📷	📷	2	2	2	2	1	1	2	1	1	2	1	1	2	1	1
crawled-115559		🔥	😂	🔥	2	2	2	1	2	1	1	1	1	2	2	2	2	1	2
all-723699		😊	😊	😜	2	2	2	2	2	1	2	2	1	2	2	1	2	2	0
crawled-23746		😭	😭	😂	2	2	2	0	0	2	1	1	1	0	0	2	0	0	2
crawled-126042		🔥	😭	😭	2	2	2	1	2	2	0	2	2	0	2	2	1	0	0
all-798456		❤	😜	❤	2	1	2	2	0	2	2	1	2	2	1	2	2	0	2
crawled-271550		😭	😊	😭	2	2	2	0	2	0	1	1	1	2	1	2	2	0	2
crawled-349761		🙏	😎	😎	1	2	2	1	2	2	2	1	1	1	2	2	0	2	2
crawled-6761		💯	💯	😂	2	2	2	1	1	2	2	2	1	1	1	2	2	2	0
all-759541		😊	😎	😊	2	2	2	2	1	2	2	1	2	2	1	2	2	1	2
crawled-367023		😂	😂	😉	2	2	2	1	1	1	1	1	1	1	1	2	2	2	0
all-648644		📷	📷	🔥	2	2	2	2	2	1	1	1	1	2	2	2	2	2	0
crawled-107509		❤	😊	😊	1	2	2	1	2	2	2	2	2	1	2	2	2	1	1
all-928406		😊	😊	☀	2	2	2	2	2	0	2	2	0	2	2	1	1	1	0
crawled-127556		🔥	💯	💯	0	2	2	1	0	0	1	1	1	0	1	1	1	1	1
all-717886		😜	😂	🔥	2	2	2	2	1	1	1	1	1	2	2	0	1	1	1
all-989563		😊	😊	😉	2	2	2	2	2	2	1	1	2	1	1	2	1	1	2
crawled-63845		🔥	❤	🔥	2	1	2	2	1	2	1	1	1	1	2	1	1	1	1
crawled-388519		😂	😂	😜	2	2	2	1	1	1	1	1	1	2	2	2	2	2	1
all-772274		😊	😉	😊	2	1	2	2	1	2	2	2	2	2	1	2	2	1	2
crawled-34198		😂	🔥	🔥	2	2	2	2	0	0	2	1	1	2	0	0	2	0	0
all-724793		✨	❤	❤	2	2	2	1	2	2	2	2	2	0	2	2	1	2	2
crawled-288671		😭	😂	😂	2	2	2	2	2	2	1	1	1	0	2	2	1	2	2
all-683853		💯	😂	📷	2	1	1	2	0	0	0	1	1	2	1	0	2	0	0
crawled-117111		🔥	📷	📷	0	0	0	1	1	1	2	0	0	2	0	0	1	0	0
all-999877		✨	📷	😂	2	2	2	1	2	0	1	1	1	1	1	1	2	1	0
crawled-364997		😉	😊	😊	2	2	2	2	1	1	2	1	1	2	2	2	2	1	1
all-877919		❤	❤	🔥	2	2	2	2	2	1	2	2	1	2	2	0	2	2	1
all-834117		❤	😊	😊	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1
crawled-222985		😭	😭	😂	2	2	2	1	1	2	2	2	1	0	0	2	0	0	2
all-655450		😂	✨	✨	2	2	2	0	2	2	1	2	2	1	2	2	1	2	2
crawled-366226		😉	😭	😭	2	1	1	1	0	0	1	1	1	2	1	1	0	1	1
crawled-326433		😊	😎	😊	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1
all-946332		✨	🔥	🔥	2	1	1	2	1	1	2	1	1	2	0	0	2	1	1
all-636232		📷	📷	💯	2	2	2	1	1	1	1	1	0	1	1	2	2	2	0
crawled-162632		😂	💯	😂	2	2	2	1	0	1	1	1	1	2	2	2	2	0	2
all-959202		❤	😭	😂	2	2	2	1	1	2	2	1	1	2	0	2	0	1	1
crawled-205165		🙌	😂	😭	2	2	2	1	2	1	2	1	1	1	2	0	1	2	0
all-780391		😊	😊	📷	2	2	1	2	2	1	2	2	1	2	2	0	1	1	2
all-624662		😊	📷	😊	2	2	2	2	1	2	2	1	2	2	1	2	2	1	2
all-747538		✨	✨	🔥	1	1	1	2	2	1	1	1	1	1	1	0	2	2	0
crawled-141000		😭	😭	💯	2	2	2	1	1	0	1	1	0	0	0	1	0	0	2
crawled-372500		😂	😉	😂	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1
crawled-3368		😂	😉	😉	0	1	1	0	1	1	1	1	1	0	2	2	1	2	2
crawled-336440		😊	😎	😊	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1
crawled-69379		❤	😉	😉	1	2	2	0	1	1	1	1	1	0	2	2	0	2	2
crawled-370576		😉	😂	😂	2	2	2	1	2	2	1	2	2	2	2	2	1	2	2
all-910888		❤	📷	📷	2	2	2	2	1	1	2	1	1	1	0	0	1	2	2
crawled-393538		😭	😜	😭	2	1	2	1	0	1	1	1	1	0	1	0	0	1	0
crawled-312019		😭	😭	✨	2	2	2	1	1	1	1	1	2	0	0	1	0	0	1
crawled-151087		😭	💯	😭	2	2	2	0	0	0	1	0	1	0	2	0	0	0	0
crawled-98271		😭	😭	❤	2	2	2	0	0	1	1	1	1	1	1	2	0	0	1
all-1021364		☀	❤	❤	2	2	2	1	1	1	0	1	1	1	2	2	2	1	1
crawled-100339		💯	💯	❤	2	2	2	1	1	2	0	0	1	1	1	2	0	0	2
crawled-347897		🙏	❤	❤	2	2	2	2	1	1	0	2	2	0	2	2	1	2	2
all-719960		❤	😂	😂	0	2	2	1	1	1	1	1	1	1	2	2	0	1	1
crawled-213397		😂	🎉	😂	2	2	2	1	0	1	2	0	2	2	1	2	1	2	1
all-861481		😜	📷	📷	2	2	2	1	2	2	1	2	2	1	2	2	0	2	2
all-611545		😂	💯	😂	2	2	2	1	0	1	1	0	1	1	0	1	1	0	1
all-658007		📷	🔥	🔥	1	2	2	0	1	1	1	1	1	0	1	1	1	1	1
all-982927		❤	💯	💯	1	2	2	1	0	0	1	2	2	1	2	2	2	1	1
all-688439		📷	😉	📷	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2
crawled-130735		😂	😂	💯	2	2	2	1	1	0	2	2	0	2	2	1	1	1	0
all-617093		🔥	💯	🔥	2	2	2	2	1	2	1	0	1	0	1	0	2	1	2
all-1015502		😂	😭	😭	2	2	2	0	1	1	1	2	2	2	0	0	2	0	0
crawled-318824		❤	❤	✨	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1
crawled-375084		😂	😉	😂	0	0	0	1	0	1	1	0	1	2	0	2	1	0	1
crawled-112134		🔥	😭	😭	2	2	2	0	1	1	1	1	1	0	1	1	0	0	0
crawled-354520		📷	💋	📷	0	0	0	1	0	1	1	1	1	0	0	0	2	0	2
crawled-94293		😭	😭	❤	2	2	2	2	2	1	2	2	1	1	1	2	1	1	0
all-642205		💯	❤	💯	2	2	2	1	2	1	0	2	0	0	1	0	0	2	0
crawled-10966		😊	😂	😊	2	2	2	2	1	2	2	1	2	2	2	2	2	1	2
crawled-393908		😊	😜	😊	2	2	2	0	1	0	2	1	2	1	2	1	1	0	1
all-946521		❤	❤	🎄	2	2	2	1	1	1	2	2	0	2	2	0	2	2	1
all-658398		😊	😊	😜	2	2	2	1	1	0	1	1	1	2	2	2	2	2	0
all-888032		😊	😎	😭	2	2	2	1	2	1	1	1	1	1	2	1	0	1	2
all-706081		😂	😂	🎄	2	2	0	2	2	0	1	1	0	2	2	0	2	2	0
crawled-363081		😉	😂	😂	2	2	2	2	1	1	1	2	2	2	1	1	2	1	1
all-903747		💯	😉	💯	2	2	2	0	1	0	0	1	0	2	2	2	0	2	0
all-841579		🎉	😎	🎉	2	2	2	2	0	2	2	1	2	2	0	2	2	0	2
all-852018		😜	✨	😂	2	2	2	1	0	1	1	1	1	2	0	2	1	0	2
crawled-353442		👌	🔥	😎	1	1	1	1	2	1	1	1	1	2	0	2	0	1	2
crawled-365995		💯	💯	😉	2	2	2	0	0	2	1	1	2	1	1	2	0	0	2
crawled-134717		😭	💯	😭	1	2	1	0	2	0	1	1	1	0	2	0	0	1	0
all-617319		❤	❤	😜	2	2	2	1	1	0	2	2	1	2	2	2	1	1	0
all-1035239		🔥	📷	🔥	2	1	2	1	0	1	1	1	1	1	0	1	1	0	1
crawled-310689		✨	😊	😊	2	2	2	2	1	1	2	2	2	2	2	2	2	0	0
crawled-367700		😉	😂	😂	2	2	2	2	1	1	1	2	2	0	2	2	1	2	2
crawled-206793		🙌	✨	✨	1	2	2	1	2	2	1	2	2	1	2	2	2	1	1
crawled-152966		😂	💯	😂	0	0	0	1	0	1	1	1	1	2	1	2	2	1	2
all-758201		😊	😊	📷	2	2	2	2	2	0	2	2	1	2	2	0	1	1	2
all-903505		😊	😜	😊	2	2	2	1	2	1	2	1	2	2	1	2	1	2	1
all-783815		📷	📷	😉	2	2	2	0	0	1	1	1	2	1	1	2	2	2	1
crawled-315259		😊	✨	😭	2	2	2	0	0	2	2	2	1	0	0	2	1	0	2
all-850593		😊	☀	😊	2	2	2	1	1	1	2	0	2	2	2	2	1	2	1
crawled-385291		😂	😂	😜	2	2	2	1	1	2	2	2	1	2	2	2	2	2	0
all-883117		😭	😂	😭	1	1	1	0	0	0	2	1	2	2	1	2	0	0	0
all-610875		🎄	😂	🎄	2	2	2	1	0	1	2	1	2	1	2	1	2	1	2
all-624633		😎	😎	☀	2	2	2	2	2	1	1	1	0	2	2	1	2	2	2
all-899065		🔥	🔥	💯	2	2	2	1	1	0	1	1	0	0	0	1	2	2	0
crawled-372172		😭	😭	😉	1	1	2	0	0	2	1	1	1	0	0	2	0	0	2
crawled-4753		💯	😂	💯	2	1	2	0	1	0	1	1	1	2	1	2	2	1	2
all-600447		😎	😜	😎	2	1	2	2	0	2	1	1	1	0	2	0	1	1	1
crawled-327066		💯	😎	💯	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1
crawled-207969		😂	🙌	😂	2	2	2	1	2	1	1	1	1	2	0	2	1	0	1
all-1043236		📷	🔥	🔥	2	2	2	1	0	0	1	1	1	1	2	2	0	2	2
all-890671		❤	📷	❤	2	2	2	1	0	1	2	1	2	2	1	2	2	1	2
all-678947		😎	😜	😎	2	1	2	2	0	2	1	1	1	2	2	2	2	1	2
all-872010		😜	😂	😂	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2
all-838876		📷	🔥	🔥	2	2	2	0	1	1	1	2	2	1	0	0	0	1	1
all-723864		🔥	📷	📷	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2
all-1032366		😜	❤	😎	2	2	2	1	2	2	1	2	1	1	2	0	1	2	2
all-1000914		😎	😉	😎	2	2	2	2	1	2	1	2	1	1	2	1	2	1	2
all-991765		❤	❤	💯	2	2	2	2	2	1	2	2	0	2	2	1	2	2	2
crawled-25450		😂	💯	💯	1	1	1	1	0	0	1	1	1	1	0	0	2	0	0
all-783086		💯	📷	📷	2	2	2	0	2	2	0	2	2	0	2	2	0	2	2
crawled-319751		😭	😭	✨	1	1	2	1	1	0	1	1	1	2	2	1	2	2	0
all-820973		❤	❤	🔥	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1
crawled-387246		😂	😂	😜	1	1	1	1	1	1	1	1	1	2	2	2	2	2	0
all-1015752		😎	🎄	🎄	1	0	0	1	0	0	1	1	1	1	0	0	2	0	0
all-681608		😎	📷	📷	1	1	1	1	2	2	1	1	1	0	1	1	1	1	1
crawled-338125		💯	💯	😎	1	1	2	0	0	1	1	1	1	0	0	2	2	2	2
all-896733		😜	😂	😭	2	1	1	2	1	0	1	1	1	1	1	2	2	2	0
crawled-343161		🙏	💯	😭	2	1	2	2	0	1	1	1	1	1	0	0	2	0	1
all-640399		🎄	🎄	😎	1	1	1	1	1	1	2	2	1	1	1	1	0	0	1
crawled-119142		🔥	😂	😂	1	1	1	0	1	1	1	1	1	0	2	2	0	2	2
crawled-332153		😊	😎	😊	2	1	2	1	1	1	2	1	2	1	1	1	2	2	2
crawled-348746		🔥	🙏	🔥	1	2	1	0	1	0	1	0	1	1	0	1	0	2	0
crawled-117965		🔥	😊	😊	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1
all-895187		☀	✨	✨	1	1	1	0	1	1	0	2	2	0	1	1	0	1	1
crawled-315420		✨	❤	❤	1	1	1	1	2	2	2	2	2	2	1	1	1	2	2
crawled-327046		😊	😊	😎	2	2	1	1	1	1	2	2	1	1	1	0	2	2	0
crawled-116186		😭	😭	🔥	0	0	0	1	1	0	2	2	1	2	2	0	2	2	0
all-875261		📷	📷	😎	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1
crawled-353269		👌	😂	😂	2	1	1	1	1	1	2	1	1	1	0	0	0	0	0
all-682363		😂	✨	😎	0	0	1	1	1	1	2	1	1	1	0	1	1	0	1
all-817215		📷	🔥	🔥	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0
all-927407		✨	😎	✨	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
all-912100		❤	❤	📷	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
all-817107		😎	😂	😂	1	0	0	1	1	1	1	1	1	2	1	1	1	0	0
crawled-152254		💯	😂	😂	0	1	1	0	1	1	1	2	2	1	2	2	0	1	1
crawled-208737		😭	🙌	💯	0	1	1	1	1	0	2	1	0	0	1	0	0	1	0
all-1024010		😊	🎄	😊	2	2	2	1	0	1	2	0	2	2	1	2	1	0	1
crawled-325263		😭	😭	😎	0	0	2	1	1	1	2	2	1	0	0	2	0	0	2
all-979201		💯	😎	😎	1	1	1	0	1	1	0	1	1	0	1	1	2	0	0
crawled-205336		🔥	🙌	🔥	0	2	0	0	1	0	2	2	2	1	2	1	1	2	1
crawled-134796		💯	🔥	🔥	2	0	0	1	0	0	2	2	2	2	1	1	2	1	1
all-809588		🔥	🔥	📷	1	1	1	0	0	2	1	1	1	1	1	1	0	0	1
crawled-323255		😭	😭	😎	0	0	2	0	0	1	1	1	1	0	0	2	0	0	2
crawled-351406		👌	😂	😂	0	1	1	1	1	1	1	2	2	1	2	2	0	2	2
crawled-340308		😭	💪	😭	0	2	0	0	0	0	1	1	1	1	0	1	0	1	0
all-972520		📷	💯	📷	0	2	0	2	0	2	1	0	1	1	0	1	1	0	1
crawled-111341		😊	🔥	😊	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1
crawled-323186		😊	😊	😎	1	1	2	1	1	1	2	2	1	1	1	1	0	0	1
crawled-143984		😭	💯	😭	2	0	2	0	0	0	2	0	2	1	1	1	2	0	2
all-948711		❤	✨	✨	1	0	0	1	1	1	2	2	2	0	1	1	2	0	0
all-698049		😎	❤	❤	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0
all-958625		🔥	📷	🔥	0	0	0	1	1	1	1	1	1	2	1	2	1	0	1
crawled-335483		💯	💯	😎	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1
all-991581		😎	📷	😎	1	0	1	1	1	1	1	1	1	2	1	2	0	1	0
crawled-314537		✨	😭	😭	0	2	2	0	1	1	1	2	2	0	1	1	1	1	1
all-918828		❤	☀	❤	2	1	2	2	1	2	2	0	2	2	1	2	2	1	2
crawled-138605		😊	💯	😊	2	1	2	1	0	1	2	0	2	2	1	2	2	1	2
crawled-133830		😎	😎	💯	2	2	1	1	1	0	2	2	0	1	1	2	1	1	1
crawled-320390		🙏	✨	🙏	1	1	1	2	1	1	0	1	0	2	1	2	1	0	1
crawled-349335		😊	😊	🙏	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1
crawled-350442		😂	😂	👌	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1
all-856677		😊	😊	📷	2	2	1	2	1	1	2	2	0	2	2	1	2	2	1
crawled-311434		✨	😭	😭	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1
all-1055147		📷	💯	💯	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2
crawled-350959		👌	😂	😂	2	0	0	2	1	1	2	0	0	2	2	2	1	2	2
all-997973		😊	😊	💯	0	0	1	1	1	0	1	1	0	2	2	1	1	1	1
all-804078		🔥	💯	💯	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
all-766845		❤	❤	💯	2	2	2	1	1	0	0	0	0	0	0	0	1	1	1
all-1019914		😂	💯	😂	0	0	0	1	0	1	2	0	2	0	2	0	1	2	1
all-633182		❤	❤	🔥	2	2	2	1	1	0	2	2	0	2	2	0	2	2	0
all-1038280		📷	☀	☀	1	2	2	2	2	2	0	2	2	1	2	2	1	2	2
all-933384		🔥	❤	❤	1	1	1	0	1	1	0	2	2	1	1	1	0	2	2
all-668299		❤	❤	☀	1	1	2	2	2	2	0	0	2	1	1	2	2	2	2
crawled-314906		😭	✨	😭	1	2	1	1	1	1	2	0	2	1	2	1	2	1	2
crawled-208736		😊	😊	🙌	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2
crawled-151041		💯	😭	💯	0	2	0	0	1	0	0	2	0	0	1	0	0	2	0
all-950546		😂	😂	📷	0	0	1	1	1	2	0	0	1	0	0	1	0	0	1
all-757668		😂	📷	😂	1	1	1	1	2	1	2	0	2	0	1	0	0	1	0
all-744170		📷	😊	😊	1	1	1	1	1	1	0	1	1	1	2	2	2	1	1
all-645945		✨	📷	📷	0	1	1	1	2	2	2	0	0	1	1	1	1	2	2
crawled-156960		💯	🔥	🔥	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1
crawled-158110		💯	😭	😭	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1
all-1016565		❤	❤	📷	1	1	1	2	2	2	2	2	0	2	2	1	2	2	1
all-981060		💯	🔥	💯	1	0	1	0	0	0	1	0	1	2	0	2	1	0	1
crawled-120070		😭	😭	🔥	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1
all-928741		😊	📷	😊	1	2	1	1	2	1	1	2	1	2	1	2	1	2	1
all-872686		❤	😉	📷	1	1	2	2	2	2	2	2	2	0	1	2	1	1	2
crawled-317859		✨	🙏	🙏	2	2	2	1	2	2	1	0	0	1	2	2	0	2	2
crawled-116101		💯	🔥	💯	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
all-1012550		🔥	🎄	✨	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1
crawled-113041		🔥	💯	💯	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0
all-972205		😂	🎄	😂	2	0	2	1	0	1	1	0	1	2	0	2	1	0	1
all-969302		📷	🔥	🔥	2	1	1	2	1	1	2	0	0	2	0	0	2	0	0
all-783556		😊	😊	📷	1	1	1	1	1	2	1	1	2	2	2	1	1	1	0
all-869347		☀	❤	❤	0	1	1	1	1	1	0	2	2	0	1	1	0	1	1
crawled-341268		😂	😂	💪	1	1	0	1	1	1	2	2	2	2	2	0	1	1	0
crawled-117582		💯	💯	🔥	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
all-758975		📷	✨	📷	0	0	0	1	0	1	0	0	0	1	0	1	2	0	2
all-797423		❤	❤	📷	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
crawled-121139		😊	😊	🔥	1	1	1	1	1	0	1	1	0	2	2	0	1	1	1
all-785439		💪	💪	📷	2	2	0	1	1	1	0	0	0	2	2	1	2	2	1
all-1026362		❤	☀	❤	1	0	1	2	0	2	2	0	2	2	0	2	2	0	2
all-841826		📷	🔥	📷	0	1	0	1	0	1	0	0	0	1	1	1	2	1	2
crawled-361621		😎	😎	☀	2	2	2	2	2	1	2	2	0	2	2	1	2	2	2
crawled-205706		🙌	😊	😊	1	1	1	1	1	1	1	0	0	1	2	2	1	1	1
crawled-209007		😊	😊	🙌	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1
all-998297		😭	☀	😭	1	2	1	2	1	2	1	1	1	2	0	2	1	1	1
crawled-312972		✨	📷	📷	1	2	2	1	2	2	0	2	2	1	2	2	1	2	2
all-793480		❤	❤	📷	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1
all-699441		❤	❤	📷	1	1	1	2	2	2	2	2	0	1	1	1	1	1	1
all-881766		✨	✨	📷	2	2	1	2	2	2	2	2	0	1	1	1	1	1	0
all-999539		💯	💯	✨	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
all-661774		✨	😊	😊	0	1	1	1	1	1	0	1	1	1	2	2	0	1	1
all-800979		✨	❤	❤	0	0	0	1	1	1	0	2	2	1	2	2	0	1	1
crawled-208550		😭	😭	🙌	0	0	1	1	1	0	0	0	2	1	1	1	1	1	1
crawled-313647		😊	✨	😊	1	1	1	1	1	1	2	0	2	2	0	2	2	0	2
